img1,img2,is_same_person,model,backend,similarity_metric,distance,threshold,similarity,verified,result_type
043155.jpg,046906.jpg,True,Facenet,opencv,cosine,0.22277798193679044,0.4,77.72,True,TP
043155.jpg,046906.jpg,True,Facenet,opencv,euclidean,8.363932439035,10.0,N/A,True,TP
043155.jpg,046906.jpg,True,Facenet,ssd,cosine,0.2961573948056221,0.4,70.38,True,TP
043155.jpg,046906.jpg,True,Facenet,ssd,euclidean,9.609970512259737,10.0,N/A,True,TP
043155.jpg,046906.jpg,True,Facenet,mtcnn,cosine,0.2488622142749397,0.4,75.11,True,TP
043155.jpg,046906.jpg,True,Facenet,mtcnn,euclidean,8.785791089965624,10.0,N/A,True,TP
043155.jpg,046906.jpg,True,Facenet,retinaface,cosine,0.24630695618059884,0.4,75.37,True,TP
043155.jpg,046906.jpg,True,Facenet,retinaface,euclidean,8.872836596791664,10.0,N/A,True,TP
043155.jpg,046906.jpg,True,OpenFace,opencv,cosine,0.3029513578930848,0.1,69.7,False,FN
043155.jpg,046906.jpg,True,OpenFace,opencv,euclidean,0.7783975295158663,0.55,N/A,False,FN
043155.jpg,046906.jpg,True,OpenFace,ssd,cosine,0.5146176342819294,0.1,48.54,False,FN
043155.jpg,046906.jpg,True,OpenFace,ssd,euclidean,1.014512326298837,0.55,N/A,False,FN
043155.jpg,046906.jpg,True,OpenFace,mtcnn,cosine,0.29310109726413924,0.1,70.69,False,FN
043155.jpg,046906.jpg,True,OpenFace,mtcnn,euclidean,0.7656384510946277,0.55,N/A,False,FN
043155.jpg,046906.jpg,True,OpenFace,retinaface,cosine,0.5263786452508246,0.1,47.36,False,FN
043155.jpg,046906.jpg,True,OpenFace,retinaface,euclidean,1.0260396603889006,0.55,N/A,False,FN
043155.jpg,046906.jpg,True,ArcFace,opencv,cosine,0.3444147687774035,0.68,65.56,True,TP
043155.jpg,046906.jpg,True,ArcFace,opencv,euclidean,2.8601594556013357,4.15,N/A,True,TP
043155.jpg,046906.jpg,True,ArcFace,ssd,cosine,0.5409603557638101,0.68,45.9,True,TP
043155.jpg,046906.jpg,True,ArcFace,ssd,euclidean,3.564427838770503,4.15,N/A,True,TP
043155.jpg,046906.jpg,True,ArcFace,mtcnn,cosine,0.5226246868087079,0.68,47.74,True,TP
043155.jpg,046906.jpg,True,ArcFace,mtcnn,euclidean,3.7684527705920767,4.15,N/A,True,TP
043155.jpg,046906.jpg,True,ArcFace,retinaface,cosine,0.5178419845388069,0.68,48.22,True,TP
043155.jpg,046906.jpg,True,ArcFace,retinaface,euclidean,3.418449453995776,4.15,N/A,True,TP
049972.jpg,061069.jpg,True,Facenet,opencv,cosine,0.6191909711463239,0.4,38.08,False,FN
049972.jpg,061069.jpg,True,Facenet,opencv,euclidean,13.37069848489118,10.0,N/A,False,FN
049972.jpg,061069.jpg,True,Facenet,ssd,cosine,0.41393930330267203,0.4,58.61,False,FN
049972.jpg,061069.jpg,True,Facenet,ssd,euclidean,10.809808822898884,10.0,N/A,False,FN
049972.jpg,061069.jpg,True,Facenet,mtcnn,cosine,0.462083455612711,0.4,53.79,False,FN
049972.jpg,061069.jpg,True,Facenet,mtcnn,euclidean,11.079474706623326,10.0,N/A,False,FN
049972.jpg,061069.jpg,True,Facenet,retinaface,cosine,0.44638521348148796,0.4,55.36,False,FN
049972.jpg,061069.jpg,True,Facenet,retinaface,euclidean,11.304150396023761,10.0,N/A,False,FN
049972.jpg,061069.jpg,True,OpenFace,opencv,cosine,0.4479168949289899,0.1,55.21,False,FN
049972.jpg,061069.jpg,True,OpenFace,opencv,euclidean,0.9464849747688718,0.55,N/A,False,FN
049972.jpg,061069.jpg,True,OpenFace,ssd,cosine,0.7105770883220941,0.1,28.94,False,FN
049972.jpg,061069.jpg,True,OpenFace,ssd,euclidean,1.1921217515191498,0.55,N/A,False,FN
049972.jpg,061069.jpg,True,OpenFace,mtcnn,cosine,0.652054252623238,0.1,34.79,False,FN
049972.jpg,061069.jpg,True,OpenFace,mtcnn,euclidean,1.1419757101152264,0.55,N/A,False,FN
049972.jpg,061069.jpg,True,OpenFace,retinaface,cosine,0.567420441291235,0.1,43.26,False,FN
049972.jpg,061069.jpg,True,OpenFace,retinaface,euclidean,1.0652890860672564,0.55,N/A,False,FN
049972.jpg,061069.jpg,True,ArcFace,opencv,cosine,0.7252808602544242,0.68,27.47,False,FN
049972.jpg,061069.jpg,True,ArcFace,opencv,euclidean,4.325809875337537,4.15,N/A,False,FN
049972.jpg,061069.jpg,True,ArcFace,ssd,cosine,0.6143961956768141,0.68,38.56,True,TP
049972.jpg,061069.jpg,True,ArcFace,ssd,euclidean,4.412122570293019,4.15,N/A,False,FN
049972.jpg,061069.jpg,True,ArcFace,mtcnn,cosine,0.6977391449659776,0.68,30.23,False,FN
049972.jpg,061069.jpg,True,ArcFace,mtcnn,euclidean,5.410959118931768,4.15,N/A,False,FN
049972.jpg,061069.jpg,True,ArcFace,retinaface,cosine,0.7000223764910312,0.68,30.0,False,FN
049972.jpg,061069.jpg,True,ArcFace,retinaface,euclidean,5.00041147264571,4.15,N/A,False,FN
034914.jpg,044956.jpg,True,Facenet,opencv,cosine,0.27320516134088735,0.4,72.68,True,TP
034914.jpg,044956.jpg,True,Facenet,opencv,euclidean,9.175790500326915,10.0,N/A,True,TP
034914.jpg,044956.jpg,True,Facenet,ssd,cosine,0.3136978973043255,0.4,68.63,True,TP
034914.jpg,044956.jpg,True,Facenet,ssd,euclidean,9.26867290922658,10.0,N/A,True,TP
034914.jpg,044956.jpg,True,Facenet,mtcnn,cosine,0.341708317428574,0.4,65.83,True,TP
034914.jpg,044956.jpg,True,Facenet,mtcnn,euclidean,10.082814509605193,10.0,N/A,False,FN
034914.jpg,044956.jpg,True,Facenet,retinaface,cosine,0.2818629094044892,0.4,71.81,True,TP
034914.jpg,044956.jpg,True,Facenet,retinaface,euclidean,8.9729650180639,10.0,N/A,True,TP
034914.jpg,044956.jpg,True,OpenFace,opencv,cosine,0.1464478395351616,0.1,85.36,False,FN
034914.jpg,044956.jpg,True,OpenFace,opencv,euclidean,0.5411983636943869,0.55,N/A,True,TP
034914.jpg,044956.jpg,True,OpenFace,ssd,cosine,0.14440613917505352,0.1,85.56,False,FN
034914.jpg,044956.jpg,True,OpenFace,ssd,euclidean,0.5374125903137303,0.55,N/A,True,TP
034914.jpg,044956.jpg,True,OpenFace,mtcnn,cosine,0.09206068962712965,0.1,90.79,True,TP
034914.jpg,044956.jpg,True,OpenFace,mtcnn,euclidean,0.42909366122765524,0.55,N/A,True,TP
034914.jpg,044956.jpg,True,OpenFace,retinaface,cosine,0.12884215316809622,0.1,87.12,False,FN
034914.jpg,044956.jpg,True,OpenFace,retinaface,euclidean,0.5076261446961617,0.55,N/A,True,TP
034914.jpg,044956.jpg,True,ArcFace,opencv,cosine,0.38526759594492077,0.68,61.47,True,TP
034914.jpg,044956.jpg,True,ArcFace,opencv,euclidean,3.626913660236765,4.15,N/A,True,TP
034914.jpg,044956.jpg,True,ArcFace,ssd,cosine,0.41447347480028707,0.68,58.55,True,TP
034914.jpg,044956.jpg,True,ArcFace,ssd,euclidean,3.262127565853498,4.15,N/A,True,TP
034914.jpg,044956.jpg,True,ArcFace,mtcnn,cosine,0.45548600463800604,0.68,54.45,True,TP
034914.jpg,044956.jpg,True,ArcFace,mtcnn,euclidean,3.832996439013886,4.15,N/A,True,TP
034914.jpg,044956.jpg,True,ArcFace,retinaface,cosine,0.41462730298583916,0.68,58.54,True,TP
034914.jpg,044956.jpg,True,ArcFace,retinaface,euclidean,3.5213479781685235,4.15,N/A,True,TP
027559.jpg,029583.jpg,True,Facenet,opencv,cosine,0.40815228917229596,0.4,59.18,False,FN
027559.jpg,029583.jpg,True,Facenet,opencv,euclidean,11.332379452710823,10.0,N/A,False,FN
027559.jpg,029583.jpg,True,Facenet,ssd,cosine,0.32501966290399964,0.4,67.5,True,TP
027559.jpg,029583.jpg,True,Facenet,ssd,euclidean,9.588815135543888,10.0,N/A,True,TP
027559.jpg,029583.jpg,True,Facenet,mtcnn,cosine,0.31984900940202354,0.4,68.02,True,TP
027559.jpg,029583.jpg,True,Facenet,mtcnn,euclidean,9.824119320040278,10.0,N/A,True,TP
027559.jpg,029583.jpg,True,Facenet,retinaface,cosine,0.3841473839359518,0.4,61.59,True,TP
027559.jpg,029583.jpg,True,Facenet,retinaface,euclidean,10.510996222805495,10.0,N/A,False,FN
027559.jpg,029583.jpg,True,OpenFace,opencv,cosine,0.3388709857583909,0.1,66.11,False,FN
027559.jpg,029583.jpg,True,OpenFace,opencv,euclidean,0.823250857510214,0.55,N/A,False,FN
027559.jpg,029583.jpg,True,OpenFace,ssd,cosine,0.22853746375309292,0.1,77.15,False,FN
027559.jpg,029583.jpg,True,OpenFace,ssd,euclidean,0.6760732053629616,0.55,N/A,False,FN
027559.jpg,029583.jpg,True,OpenFace,mtcnn,cosine,0.23684080756760462,0.1,76.32,False,FN
027559.jpg,029583.jpg,True,OpenFace,mtcnn,euclidean,0.688245297628855,0.55,N/A,False,FN
027559.jpg,029583.jpg,True,OpenFace,retinaface,cosine,0.2181776515268261,0.1,78.18,False,FN
027559.jpg,029583.jpg,True,OpenFace,retinaface,euclidean,0.660571935326778,0.55,N/A,False,FN
027559.jpg,029583.jpg,True,ArcFace,opencv,cosine,0.40689964103517995,0.68,59.31,True,TP
027559.jpg,029583.jpg,True,ArcFace,opencv,euclidean,3.46422499059905,4.15,N/A,True,TP
027559.jpg,029583.jpg,True,ArcFace,ssd,cosine,0.6005711751227925,0.68,39.94,True,TP
027559.jpg,029583.jpg,True,ArcFace,ssd,euclidean,3.6073547069854177,4.15,N/A,True,TP
027559.jpg,029583.jpg,True,ArcFace,mtcnn,cosine,0.5488973252344287,0.68,45.11,True,TP
027559.jpg,029583.jpg,True,ArcFace,mtcnn,euclidean,3.7309332985554735,4.15,N/A,True,TP
027559.jpg,029583.jpg,True,ArcFace,retinaface,cosine,0.5332388324721933,0.68,46.68,True,TP
027559.jpg,029583.jpg,True,ArcFace,retinaface,euclidean,3.5297252819322287,4.15,N/A,True,TP
043521.jpg,045445.jpg,True,Facenet,opencv,cosine,0.22630372069425175,0.4,77.37,True,TP
043521.jpg,045445.jpg,True,Facenet,opencv,euclidean,8.630876277590403,10.0,N/A,True,TP
043521.jpg,045445.jpg,True,Facenet,ssd,cosine,0.31143499902915484,0.4,68.86,True,TP
043521.jpg,045445.jpg,True,Facenet,ssd,euclidean,9.550133788110534,10.0,N/A,True,TP
043521.jpg,045445.jpg,True,Facenet,mtcnn,cosine,0.2352307660024182,0.4,76.48,True,TP
043521.jpg,045445.jpg,True,Facenet,mtcnn,euclidean,8.651719330433826,10.0,N/A,True,TP
043521.jpg,045445.jpg,True,Facenet,retinaface,cosine,0.2543856742537389,0.4,74.56,True,TP
043521.jpg,045445.jpg,True,Facenet,retinaface,euclidean,8.774262727281094,10.0,N/A,True,TP
043521.jpg,045445.jpg,True,OpenFace,opencv,cosine,0.1545837243279311,0.1,84.54,False,FN
043521.jpg,045445.jpg,True,OpenFace,opencv,euclidean,0.5560282834971659,0.55,N/A,False,FN
043521.jpg,045445.jpg,True,OpenFace,ssd,cosine,0.17773335087975894,0.1,82.23,False,FN
043521.jpg,045445.jpg,True,OpenFace,ssd,euclidean,0.5962102826852418,0.55,N/A,False,FN
043521.jpg,045445.jpg,True,OpenFace,mtcnn,cosine,0.28005313548776756,0.1,71.99,False,FN
043521.jpg,045445.jpg,True,OpenFace,mtcnn,euclidean,0.7484024716875594,0.55,N/A,False,FN
043521.jpg,045445.jpg,True,OpenFace,retinaface,cosine,0.24251374445787544,0.1,75.75,False,FN
043521.jpg,045445.jpg,True,OpenFace,retinaface,euclidean,0.6964391623959655,0.55,N/A,False,FN
043521.jpg,045445.jpg,True,ArcFace,opencv,cosine,0.3962948151735738,0.68,60.37,True,TP
043521.jpg,045445.jpg,True,ArcFace,opencv,euclidean,3.72399322190898,4.15,N/A,True,TP
043521.jpg,045445.jpg,True,ArcFace,ssd,cosine,0.5347299561533525,0.68,46.53,True,TP
043521.jpg,045445.jpg,True,ArcFace,ssd,euclidean,3.5701627916350676,4.15,N/A,True,TP
043521.jpg,045445.jpg,True,ArcFace,mtcnn,cosine,0.49390685525478895,0.68,50.61,True,TP
043521.jpg,045445.jpg,True,ArcFace,mtcnn,euclidean,3.9462550493492725,4.15,N/A,True,TP
043521.jpg,045445.jpg,True,ArcFace,retinaface,cosine,0.4303714876375374,0.68,56.96,True,TP
043521.jpg,045445.jpg,True,ArcFace,retinaface,euclidean,3.640843388041304,4.15,N/A,True,TP
015336.jpg,033472.jpg,True,Facenet,opencv,cosine,0.23424844834777703,0.4,76.58,True,TP
015336.jpg,033472.jpg,True,Facenet,opencv,euclidean,8.5750171359228,10.0,N/A,True,TP
015336.jpg,033472.jpg,True,Facenet,ssd,cosine,0.26875593989596325,0.4,73.12,True,TP
015336.jpg,033472.jpg,True,Facenet,ssd,euclidean,8.896668612518638,10.0,N/A,True,TP
015336.jpg,033472.jpg,True,Facenet,mtcnn,cosine,0.18547854423259547,0.4,81.45,True,TP
015336.jpg,033472.jpg,True,Facenet,mtcnn,euclidean,7.5655756258691085,10.0,N/A,True,TP
015336.jpg,033472.jpg,True,Facenet,retinaface,cosine,0.22859932289664397,0.4,77.14,True,TP
015336.jpg,033472.jpg,True,Facenet,retinaface,euclidean,8.18330326514901,10.0,N/A,True,TP
015336.jpg,033472.jpg,True,OpenFace,opencv,cosine,0.05211363176085515,0.1,94.79,True,TP
015336.jpg,033472.jpg,True,OpenFace,opencv,euclidean,0.3228424905794738,0.55,N/A,True,TP
015336.jpg,033472.jpg,True,OpenFace,ssd,cosine,0.3178292770282869,0.1,68.22,False,FN
015336.jpg,033472.jpg,True,OpenFace,ssd,euclidean,0.7972819922863135,0.55,N/A,False,FN
015336.jpg,033472.jpg,True,OpenFace,mtcnn,cosine,0.07641383341719332,0.1,92.36,True,TP
015336.jpg,033472.jpg,True,OpenFace,mtcnn,euclidean,0.39093179083115953,0.55,N/A,True,TP
015336.jpg,033472.jpg,True,OpenFace,retinaface,cosine,0.21487469495534217,0.1,78.51,False,FN
015336.jpg,033472.jpg,True,OpenFace,retinaface,euclidean,0.6555527320082778,0.55,N/A,False,FN
015336.jpg,033472.jpg,True,ArcFace,opencv,cosine,0.28258191293443835,0.68,71.74,True,TP
015336.jpg,033472.jpg,True,ArcFace,opencv,euclidean,2.9796600153054293,4.15,N/A,True,TP
015336.jpg,033472.jpg,True,ArcFace,ssd,cosine,0.46495478489553077,0.68,53.5,True,TP
015336.jpg,033472.jpg,True,ArcFace,ssd,euclidean,3.6009554479403985,4.15,N/A,True,TP
015336.jpg,033472.jpg,True,ArcFace,mtcnn,cosine,0.3561040127824536,0.68,64.39,True,TP
015336.jpg,033472.jpg,True,ArcFace,mtcnn,euclidean,3.9318893974395768,4.15,N/A,True,TP
015336.jpg,033472.jpg,True,ArcFace,retinaface,cosine,0.3714589067221644,0.68,62.85,True,TP
015336.jpg,033472.jpg,True,ArcFace,retinaface,euclidean,3.71509449216149,4.15,N/A,True,TP
037082.jpg,055891.jpg,True,Facenet,opencv,cosine,0.5004820826387265,0.4,49.95,False,FN
037082.jpg,055891.jpg,True,Facenet,opencv,euclidean,13.02444717319414,10.0,N/A,False,FN
037082.jpg,055891.jpg,True,Facenet,ssd,cosine,0.4473309800612185,0.4,55.27,False,FN
037082.jpg,055891.jpg,True,Facenet,ssd,euclidean,11.967118186979105,10.0,N/A,False,FN
037082.jpg,055891.jpg,True,Facenet,mtcnn,cosine,0.5436636773046641,0.4,45.63,False,FN
037082.jpg,055891.jpg,True,Facenet,mtcnn,euclidean,13.0811015645642,10.0,N/A,False,FN
037082.jpg,055891.jpg,True,Facenet,retinaface,cosine,0.5378712642621472,0.4,46.21,False,FN
037082.jpg,055891.jpg,True,Facenet,retinaface,euclidean,12.826693592256202,10.0,N/A,False,FN
037082.jpg,055891.jpg,True,OpenFace,opencv,cosine,0.4663646091837784,0.1,53.36,False,FN
037082.jpg,055891.jpg,True,OpenFace,opencv,euclidean,0.9657790482722457,0.55,N/A,False,FN
037082.jpg,055891.jpg,True,OpenFace,ssd,cosine,0.1757126097199564,0.1,82.43,False,FN
037082.jpg,055891.jpg,True,OpenFace,ssd,euclidean,0.5928112632955546,0.55,N/A,False,FN
037082.jpg,055891.jpg,True,OpenFace,mtcnn,cosine,0.33280594624811655,0.1,66.72,False,FN
037082.jpg,055891.jpg,True,OpenFace,mtcnn,euclidean,0.8158504289444154,0.55,N/A,False,FN
037082.jpg,055891.jpg,True,OpenFace,retinaface,cosine,0.307276556130775,0.1,69.27,False,FN
037082.jpg,055891.jpg,True,OpenFace,retinaface,euclidean,0.7839343661289944,0.55,N/A,False,FN
037082.jpg,055891.jpg,True,ArcFace,opencv,cosine,0.5731933712004686,0.68,42.68,True,TP
037082.jpg,055891.jpg,True,ArcFace,opencv,euclidean,3.8230176973682557,4.15,N/A,True,TP
037082.jpg,055891.jpg,True,ArcFace,ssd,cosine,0.55020952303883,0.68,44.98,True,TP
037082.jpg,055891.jpg,True,ArcFace,ssd,euclidean,3.4876644633978535,4.15,N/A,True,TP
037082.jpg,055891.jpg,True,ArcFace,mtcnn,cosine,0.5913635736749394,0.68,40.86,True,TP
037082.jpg,055891.jpg,True,ArcFace,mtcnn,euclidean,3.6104506594002417,4.15,N/A,True,TP
037082.jpg,055891.jpg,True,ArcFace,retinaface,cosine,0.5655316880178319,0.68,43.45,True,TP
037082.jpg,055891.jpg,True,ArcFace,retinaface,euclidean,3.3438149546994707,4.15,N/A,True,TP
045318.jpg,046844.jpg,True,Facenet,opencv,cosine,0.515040034586497,0.4,48.5,False,FN
045318.jpg,046844.jpg,True,Facenet,opencv,euclidean,13.015455794133034,10.0,N/A,False,FN
045318.jpg,046844.jpg,True,Facenet,ssd,cosine,0.4086509831415349,0.4,59.13,False,FN
045318.jpg,046844.jpg,True,Facenet,ssd,euclidean,11.452045797206093,10.0,N/A,False,FN
045318.jpg,046844.jpg,True,Facenet,mtcnn,cosine,0.4256955579231394,0.4,57.43,False,FN
045318.jpg,046844.jpg,True,Facenet,mtcnn,euclidean,11.564120786237565,10.0,N/A,False,FN
045318.jpg,046844.jpg,True,Facenet,retinaface,cosine,0.43217627832012184,0.4,56.78,False,FN
045318.jpg,046844.jpg,True,Facenet,retinaface,euclidean,11.695047396506222,10.0,N/A,False,FN
045318.jpg,046844.jpg,True,OpenFace,opencv,cosine,0.5087133297609877,0.1,49.13,False,FN
045318.jpg,046844.jpg,True,OpenFace,opencv,euclidean,1.0086757199842409,0.55,N/A,False,FN
045318.jpg,046844.jpg,True,OpenFace,ssd,cosine,0.3908498361060193,0.1,60.92,False,FN
045318.jpg,046844.jpg,True,OpenFace,ssd,euclidean,0.8841378093775132,0.55,N/A,False,FN
045318.jpg,046844.jpg,True,OpenFace,mtcnn,cosine,0.462420008342747,0.1,53.76,False,FN
045318.jpg,046844.jpg,True,OpenFace,mtcnn,euclidean,0.9616859925771397,0.55,N/A,False,FN
045318.jpg,046844.jpg,True,OpenFace,retinaface,cosine,0.4445812411289911,0.1,55.54,False,FN
045318.jpg,046844.jpg,True,OpenFace,retinaface,euclidean,0.9429541428863992,0.55,N/A,False,FN
045318.jpg,046844.jpg,True,ArcFace,opencv,cosine,0.6621819005779375,0.68,33.78,True,TP
045318.jpg,046844.jpg,True,ArcFace,opencv,euclidean,4.243268686939745,4.15,N/A,False,FN
045318.jpg,046844.jpg,True,ArcFace,ssd,cosine,0.6401164372708772,0.68,35.99,True,TP
045318.jpg,046844.jpg,True,ArcFace,ssd,euclidean,4.300210066513301,4.15,N/A,False,FN
045318.jpg,046844.jpg,True,ArcFace,mtcnn,cosine,0.6792417553490322,0.68,32.08,True,TP
045318.jpg,046844.jpg,True,ArcFace,mtcnn,euclidean,4.457179068473166,4.15,N/A,False,FN
045318.jpg,046844.jpg,True,ArcFace,retinaface,cosine,0.6500730335240876,0.68,34.99,True,TP
045318.jpg,046844.jpg,True,ArcFace,retinaface,euclidean,4.045684554668353,4.15,N/A,True,TP
021177.jpg,070510.jpg,True,Facenet,opencv,cosine,0.22692771971222936,0.4,77.31,True,TP
021177.jpg,070510.jpg,True,Facenet,opencv,euclidean,8.100121143213798,10.0,N/A,True,TP
021177.jpg,070510.jpg,True,Facenet,ssd,cosine,0.23937593845607485,0.4,76.06,True,TP
021177.jpg,070510.jpg,True,Facenet,ssd,euclidean,8.36191633663155,10.0,N/A,True,TP
021177.jpg,070510.jpg,True,Facenet,mtcnn,cosine,0.22380754427388172,0.4,77.62,True,TP
021177.jpg,070510.jpg,True,Facenet,mtcnn,euclidean,7.999029571140505,10.0,N/A,True,TP
021177.jpg,070510.jpg,True,Facenet,retinaface,cosine,0.23208382765081903,0.4,76.79,True,TP
021177.jpg,070510.jpg,True,Facenet,retinaface,euclidean,8.165412562154161,10.0,N/A,True,TP
021177.jpg,070510.jpg,True,OpenFace,opencv,cosine,0.6025959301503788,0.1,39.74,False,FN
021177.jpg,070510.jpg,True,OpenFace,opencv,euclidean,1.0978123140169556,0.55,N/A,False,FN
021177.jpg,070510.jpg,True,OpenFace,ssd,cosine,0.27263837500168253,0.1,72.74,False,FN
021177.jpg,070510.jpg,True,OpenFace,ssd,euclidean,0.73842859156137,0.55,N/A,False,FN
021177.jpg,070510.jpg,True,OpenFace,mtcnn,cosine,0.24402779630998206,0.1,75.6,False,FN
021177.jpg,070510.jpg,True,OpenFace,mtcnn,euclidean,0.6986097427234848,0.55,N/A,False,FN
021177.jpg,070510.jpg,True,OpenFace,retinaface,cosine,0.3328535509818753,0.1,66.71,False,FN
021177.jpg,070510.jpg,True,OpenFace,retinaface,euclidean,0.8159087467686492,0.55,N/A,False,FN
021177.jpg,070510.jpg,True,ArcFace,opencv,cosine,0.3146911540852606,0.68,68.53,True,TP
021177.jpg,070510.jpg,True,ArcFace,opencv,euclidean,3.2236330722685476,4.15,N/A,True,TP
021177.jpg,070510.jpg,True,ArcFace,ssd,cosine,0.3272025426382349,0.68,67.28,True,TP
021177.jpg,070510.jpg,True,ArcFace,ssd,euclidean,3.4130963094453612,4.15,N/A,True,TP
021177.jpg,070510.jpg,True,ArcFace,mtcnn,cosine,0.26589165467022935,0.68,73.41,True,TP
021177.jpg,070510.jpg,True,ArcFace,mtcnn,euclidean,3.154429973206011,4.15,N/A,True,TP
021177.jpg,070510.jpg,True,ArcFace,retinaface,cosine,0.31291948324651453,0.68,68.71,True,TP
021177.jpg,070510.jpg,True,ArcFace,retinaface,euclidean,3.433503532432507,4.15,N/A,True,TP
019015.jpg,028776.jpg,True,Facenet,ssd,cosine,0.5778321384570653,0.4,42.22,False,FN
019015.jpg,028776.jpg,True,Facenet,ssd,euclidean,12.378754590813118,10.0,N/A,False,FN
019015.jpg,028776.jpg,True,Facenet,mtcnn,cosine,0.515081944584212,0.4,48.49,False,FN
019015.jpg,028776.jpg,True,Facenet,mtcnn,euclidean,11.575646967072913,10.0,N/A,False,FN
019015.jpg,028776.jpg,True,Facenet,retinaface,cosine,0.5705119392334332,0.4,42.95,False,FN
019015.jpg,028776.jpg,True,Facenet,retinaface,euclidean,12.413844443395135,10.0,N/A,False,FN
019015.jpg,028776.jpg,True,OpenFace,ssd,cosine,0.5769488455939897,0.1,42.31,False,FN
019015.jpg,028776.jpg,True,OpenFace,ssd,euclidean,1.074196279173711,0.55,N/A,False,FN
019015.jpg,028776.jpg,True,OpenFace,mtcnn,cosine,0.6253769939589373,0.1,37.46,False,FN
019015.jpg,028776.jpg,True,OpenFace,mtcnn,euclidean,1.1183711996034231,0.55,N/A,False,FN
019015.jpg,028776.jpg,True,OpenFace,retinaface,cosine,0.6157034175201666,0.1,38.43,False,FN
019015.jpg,028776.jpg,True,OpenFace,retinaface,euclidean,1.1096876989448154,0.55,N/A,False,FN
019015.jpg,028776.jpg,True,ArcFace,ssd,cosine,0.901940505746204,0.68,9.81,False,FN
019015.jpg,028776.jpg,True,ArcFace,ssd,euclidean,3.213284704082212,4.15,N/A,True,TP
019015.jpg,028776.jpg,True,ArcFace,mtcnn,cosine,0.9279815009904404,0.68,7.2,False,FN
019015.jpg,028776.jpg,True,ArcFace,mtcnn,euclidean,3.645003092321713,4.15,N/A,True,TP
019015.jpg,028776.jpg,True,ArcFace,retinaface,cosine,0.8470088580738646,0.68,15.3,False,FN
019015.jpg,028776.jpg,True,ArcFace,retinaface,euclidean,3.0700417214185065,4.15,N/A,True,TP
047098.jpg,070510.jpg,True,Facenet,opencv,cosine,0.14445935294955214,0.4,85.55,True,TP
047098.jpg,070510.jpg,True,Facenet,opencv,euclidean,6.5788485374971675,10.0,N/A,True,TP
047098.jpg,070510.jpg,True,Facenet,ssd,cosine,0.17711076746267373,0.4,82.29,True,TP
047098.jpg,070510.jpg,True,Facenet,ssd,euclidean,7.21319138593081,10.0,N/A,True,TP
047098.jpg,070510.jpg,True,Facenet,mtcnn,cosine,0.1921454618677776,0.4,80.79,True,TP
047098.jpg,070510.jpg,True,Facenet,mtcnn,euclidean,7.5193526844098235,10.0,N/A,True,TP
047098.jpg,070510.jpg,True,Facenet,retinaface,cosine,0.18411360451466485,0.4,81.59,True,TP
047098.jpg,070510.jpg,True,Facenet,retinaface,euclidean,7.346959739697422,10.0,N/A,True,TP
047098.jpg,070510.jpg,True,OpenFace,opencv,cosine,0.2869964139297819,0.1,71.3,False,FN
047098.jpg,070510.jpg,True,OpenFace,opencv,euclidean,0.7576231724839647,0.55,N/A,False,FN
047098.jpg,070510.jpg,True,OpenFace,ssd,cosine,0.13643446306742846,0.1,86.36,False,FN
047098.jpg,070510.jpg,True,OpenFace,ssd,euclidean,0.5223685858690327,0.55,N/A,True,TP
